"COL0","COL1"
"5350365.00",4900.00
"5350366.00",4375.00
"5350367.01",4050.00
"5350367.02",2145.00
"5350368.01",5955.00
"5350368.02",2440.00
"5350369.00",5515.00
"5350370.01",8295.00
"5350370.02",4230.00
"5350370.03",2595.00
"5350371.00",3760.00
"5350372.00",2485.00
"5350373.00",2740.00
"5350374.01",3095.00
"5350374.02",2205.00
"5350374.03",3370.00
"5350375.01",3855.00
"5350375.02",1160.00
"5350375.03",4170.00
"5350375.04",4385.00
"5350375.05",4520.00
"5350376.01",4180.00
"5350376.02",4855.00
"5350376.04",4260.00
"5350376.05",6485.00
"5350376.06",375.00
"5350376.08",5145.00
"5350376.09",4345.00
"5350376.11",2835.00
"5350376.12",3765.00
"5350376.13",3540.00
"5350376.14",3445.00
"5350376.15",3240.00
"5350376.16",3085.00
"5350377.01",7695.00
"5350377.02",3510.00
"5350377.03",2270.00
"5350377.04",5655.00
"5350377.06",3590.00
"5350377.07",4480.00
"5350378.02",2750.00
"5350378.03",6300.00
"5350378.04",5555.00
"5350378.05",3235.00
"5350378.06",5745.00
"5350378.07",6200.00
"5350378.08",5730.00
"5350378.11",5300.00
"5350378.12",4360.00
"5350378.14",3650.00
"5350378.16",5705.00
"5350378.17",2995.00
"5350378.18",2510.00
"5350378.19",5090.00
"5350378.2",2020.00
"5350378.21",3850.00
"5350378.22",3250.00
"5350378.23",3595.00
"5350378.24",5465.00
"5350378.25",7685.00
"5350378.26",4675.00
"5350378.27",5515.00
"5350378.28",6800.00
"5350400.02",2195.00
"5350400.03",1680.00
"5350400.04",790.00
"5350400.06",1045.00
"5350400.07",650.00
"5350400.08",970.00
"5350400.11",6030.00
"5350400.12",4565.00
"5350400.13",6490.00
"5350400.14",5900.00
"5350400.15",1705.00
"5350400.16",4020.00
"5350400.17",4515.00
"5350400.18",2370.00
"5350400.19",6395.00
"5350400.2",4000.00
"5350400.21",1710.00
"5350400.22",8570.00
"5350400.23",7830.00
"5350401.04",2740.00
"5350401.05",2185.00
"5350401.06",3720.00
