"COL0","COL1"
"4210111.00",2120.00
"4210112.01",2590.00
"4210112.02",2075.00
"4210113.01",4040.00
"4210113.02",3090.00
"4210114.00",3195.00
"4210115.00",1770.00
"4210116.00",4255.00
"4210117.01",1295.00
"4210117.02",2770.00
"4210118.00",3045.00
"4210119.02",2080.00
"4210119.03",3285.00
"4210119.04",1225.00
"4210120.01",1350.00
"4210120.02",2500.00
"4210120.03",1425.00
"4210140.01",2700.00
"4210140.02",2190.00
"4210140.03",2095.00
"4210160.01",2455.00
"4210160.03",1825.00
"4210160.04",925.00
"4210160.05",2245.00
"4210170.03",2080.00
"4210170.04",2335.00
"4210170.05",2555.00
"4210170.06",1880.00
"4210170.07",2380.00
"4210190.00",1120.00
"4210200.00",3495.00
"4210210.01",2105.00
"4210210.02",1835.00
"4210220.01",3885.00
"4210220.02",2640.00
"4210230.01",2895.00
"4210230.02",2975.00
"4210240.01",3695.00
"4210240.02",3515.00
"4210260.01",2150.00
"4210260.02",1820.00
"4210260.03",1875.00
"4210270.01",2370.00
"4210270.03",2625.00
"4210270.04",1485.00
"4210271.01",1760.00
"4210271.02",1825.00
"4210272.00",680.00
"4210273.01",2745.00
"4210273.02",1185.00
"4210273.03",1475.00
"4210273.04",1950.00
"4210280.01",1840.00
"4210280.02",1970.00
"4210280.03",2580.00
"4210290.01",1645.00
"4210290.03",990.00
"4210290.04",3515.00
"4210300.00",1335.00
"4210310.00",1075.00
"4210311.01",3900.00
"4210311.02",1450.00
"4210320.01",4965.00
"4210320.02",2355.00
"4210320.03",1495.00
"4210320.04",1470.00
"4210320.05",1285.00
"4210320.07",1670.00
"4210320.08",2870.00
"4210330.00",1245.00
"4210340.01",880.00
"4210340.02",2055.00
"4210340.03",2130.00
"4210360.01",2890.00
"4210360.02",2600.00
"4210370.00",2845.00
"4210500.00",2815.00
"4210510.00",1550.00
"4210520.00",2815.00
"4210530.00",1780.00
"4210540.00",3040.00
"4210600.03",935.00
"4210600.04",2770.00
"4210600.05",1500.00
"4210600.06",1980.00
"4210605.00",3945.00
"4210610.00",2110.00
"4210700.00",1135.00
"4210800.01",2680.00
"4210800.02",2490.00
"4210801.00",1760.00
"4210802.00",1320.00
"4210810.00",2250.00
"4210811.00",3635.00
"4210812.00",2025.00
"4210820.01",2030.00
"4210820.03",2410.00
"4210820.04",1815.00
"4210825.00",3120.00
"4210830.01",2120.00
"4210830.02",3560.00
"4210835.03",2775.00
"4210835.04",1575.00
"4210835.05",1560.00
"4210835.06",1215.00
"4210835.07",1905.00
"4210840.01",2625.00
"4210840.02",2020.00
"4210845.03",1785.00
"4210845.04",1765.00
"4210845.05",2545.00
"4210845.06",475.00
"4210846.02",2485.00
"4210846.03",480.00
"4210846.04",3085.00
"4210850.02",1050.00
"4210850.03",1455.00
"4210850.04",1780.00
"4210850.05",1515.00
"4210900.00",2265.00
"4210901.00",1820.00
"4210902.00",690.00
"4330000.00",95580.00
"4330001.00",2545.00
"4330002.00",860.00
"4330003.00",1685.00
"4330004.00",2305.00
"4330005.00",1130.00
"4330006.00",1430.00
"4330007.00",1130.00
"4330008.00",1300.00
"4330009.01",1715.00
"4330009.02",3230.00
"4330010.00",1680.00
"4330011.00",1095.00
"4330012.00",1025.00
"4330013.00",1110.00
"4330014.00",1790.00
"4330015.01",1440.00
"4330015.02",2900.00
"4330016.00",2190.00
"4330017.00",1430.00
"4330018.00",2400.00
"4330019.01",2840.00
"4330019.02",3265.00
"4330100.00",2355.00
"4330110.01",1675.00
"4330110.03",2400.00
"4330110.04",2325.00
"4330110.06",2675.00
"4330110.07",2875.00
"4330111.01",3290.00
"4330111.02",415.00
"4330111.05",1875.00
"4330111.06",1410.00
"4330111.07",3115.00
"4330111.08",2105.00
"4330112.01",1185.00
"4330112.02",1205.00
"4330113.01",2030.00
"4330113.02",2320.00
"4330200.00",700.00
"4330201.00",1105.00
"4330202.00",1010.00
"4330300.01",2560.00
"4330300.02",1595.00
"4330400.01",2665.00
"4330400.02",2710.00
"4330400.03",3185.00
"4330400.04",3730.00
"4330401.00",655.00
"4330402.00",1905.00
"4420000.00",72500.00
"4420001.00",1275.00
"4420002.00",1670.00
"4420003.00",1550.00
"4420004.00",2380.00
